,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,residential_complex
2350,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/300211180/,Краснодар,sale,flat,12,24,2,57.2,7668232,Прикубанский, Батуринская,10,,Микрорайон Любимово
2351,Объединение застройщиков,representative_developer,https://krasnodar.cian.ru/sale/flat/297464590/,Краснодар,sale,flat,24,24,2,53.6,7740789,,,,,Микрорайон Любимово
2352,Объединение застройщиков,representative_developer,https://krasnodar.cian.ru/sale/flat/300209221/,Краснодар,sale,flat,18,24,2,63.2,7689418,Прикубанский, Батуринская,10,,Микрорайон Любимово
2353,Объединение застройщиков,representative_developer,https://krasnodar.cian.ru/sale/flat/300209085/,Краснодар,sale,flat,17,24,2,59.75,7676441,Прикубанский, Батуринская,10,,Микрорайон Любимово
2354,Объединение застройщиков,representative_developer,https://krasnodar.cian.ru/sale/flat/292086454/,Краснодар,sale,flat,18,24,2,61.77,7717380,,,,,Микрорайон Любимово
2355,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/299822526/,Краснодар,sale,flat,4,16,2,66.4,7748880,,,,,Dogma park
2356,ID 45302310,developer,https://krasnodar.cian.ru/sale/flat/293453209/,Краснодар,sale,flat,4,16,2,66.4,7748880,,,,,Dogma park
2357,ID 45302310,developer,https://krasnodar.cian.ru/sale/flat/293524775/,Краснодар,sale,flat,10,18,2,64.1,7717640,,,,,Парк Победы - 2
2358,AVA,representative_developer,https://krasnodar.cian.ru/sale/flat/301520073/,Краснодар,sale,flat,7,16,2,66.5,7700700,Зеленодар ЖК, Садовое Кольцо,9/1,,Зеленодар
2359,ИНСИТИ,developer,https://krasnodar.cian.ru/sale/flat/300862644/,Краснодар,sale,flat,1,4,2,59.85,7661399,,,,,Микрорайон Новая Елизаветка
